No.,日付,時間,ステータス,カテゴリ,サブカテゴリ,配信形式,司会者,登壇者,登壇依頼先,セミナーテーマ,聞き手からの質問,,ターゲット,,,,,,,,,,,,,,,広告配信日,メルマガ配信日,,ターゲット仮説,備考
,,,,,,,,,,,,,業種,,,,,,外国人経験,,,企業規模,,,,エリア,,-14,-14,,,
,,,,,,,,,,,,,外食,介護,宿泊,製造,他,,アリ,無し,,大手,中堅,中小,,都市,地方,,,,,
Sem19,12/11(木),13:30-14:00,開催済み,制度紹介,ドライバー,録画,加藤さん,座安さん？,-,「外国人ドライバー受け入れ実務セミナー」 ― 特定技能自動車運送業の制度・選考・教育の“よくある質問”を徹底解説ー,,,✓,✓,✓,✓,✓,,-,✓,,-,-,✓,,-,✓,11/27(木),11/27(木),,外国人雇用経験が無く、複雑な制度がハードルの地方中小企業,
Sem20,12/16(火),13:30-14:00,開催済み,海外紹介,ネパール,ライブ,杉田,ギリ,Akshara,特定技能×ネパール人材セミナー　来日前準備を現地エージェントが語る（Akshara × TCJ）,,,✓,✓,✓,✓,✓,,-,✓,,✓,✓,✓,,✓,✓,12/02(火),12/02(火),,外国人雇用経験が無く、慢性的な人手不足業界の中小企業,
Sem21,12/19(金),13:30-14:00,開催済み,海外紹介,ミャンマー,ライブ,杉田,トーマス,BetterLife,特定技能×ミャンマー人材セミナー　来日前準備を現地エージェントが語る（BetterLife × TCJ）,,,✓,✓,✓,✓,✓,,-,✓,,✓,-,-,,✓,✓,12/05(金),12/05(金),,外国人雇用経験が無く、複雑な制度と社内稟議がハードルの大手企業,
Sem22,12/23(火),13:30-14:00,開催済み,海外紹介,ネパール,ライブ,杉田,スベディ,Miroku,特定技能×ネパール人材セミナー　来日前準備を現地エージェントが語る（Miroku × TCJ）,,,✓,✓,✓,✓,-,,-,✓,,-,-,✓,,,,12/09(火),12/09(火),,外国人雇用経験が無く、慢性的な人手不足業界の中小企業,
Sem23,01/06(火),13:30-14:00,開催済み,海外紹介,インドネシア,録画,杉田,アンディ,Seikou,特定技能×インドネシア人材セミナー　来日前準備を現地エージェントが語る（Seikou × TCJ）,,,,,,,,,,,,,,,,,,12/23(火),12/23(火),,,
Sem24,01/08(木),13:30-14:00,開催済み,外国人材採用,国内採用,ライブ,杉田,-,-,「入社まで半年」はもう待てない。国内在住の外国人留学生・家族滞在者を採用する「国内調達」シフトのすすめ ,,,,,,,,,,,,,,,,,,12/25(木),12/25(木),,,
Sem25,01/13(火),13:30-14:00,開催済み,制度紹介,介護,録画,加藤さん,座安さん？,-,「これで分かる！特定技能介護の採用制度」― 在留資格・選考・受入手続きのリアルQ&Aー,,,,,,,,,,,,,,,,,,12/30(火),12/30(火),,,
Sem26,01/15(木),13:30-14:00,開催済み,外国人材採用,国内採用,ライブ,杉田,-,-,採用後の「お世話」を劇的に減らす。日本在住歴の長い「在留外国人」採用という選択肢,,,,,,,,,,,,,,,,,,01/01(木),01/01(木),,,
Sem27,01/20(火),13:30-14:00,開催済み,海外紹介,ネパール,録画,杉田,ラジブ,Rose,ネパール人材のリアルを知る！現地日本語学校と働く若者の声 (ROSE × TCJ),学校に通う生徒の年齢層と男女比,,,,,,,,,,,,,,,,,01/06(火),01/06(火),,,
Sem28,01/22(木),13:30-14:00,開催済み,外国人材採用,,ライブ,杉田,浅原,,企業担当者必見！特定技能人材を受け入れる時のマインドセット,,,,,,,,,,,,,,,,,,01/08(木),01/08(木),,,
Sem29,01/27(火),13:30-14:00,開催済み,海外紹介,ミャンマー,録画,杉田,トーマス,BetterLife,特定技能×ミャンマー人材セミナー　来日前準備を現地エージェントが語る（BetterLife × TCJ）,,,,,,,,,,,,,,,,,,01/13(火),01/13(火),,,
Sem30,02/12(木),13:30-14:00,開催済み,業界特化,ドライバー,ライブ,杉田,-,,「誤配・事故リスクを最小化する『ドライバー特化型』外国人採用の秘訣 〜日本語能力と現場トラブルの相関性を紐解く〜」,,,,,,,,,,,,,,,,,,01/29(木),01/29(木),,,
Sem31,02/17(火),13:30-14:00,開催済み,業界特化,外食,ライブ,杉田,-,,【外食業】「知らなかったでは済まされない『不法就労助長』のリスク管理」,,,,,,,,,,,,,,,,,,02/03(火),02/03(火),,,
Sem32,02/19(木),13:30-14:00,開催済み,業界特化,ドライバー,ライブ,杉田,-,,初めての特定技能ドライバー採用！受け入れ準備徹底解説セミナー,,,,,,,,,,,,,,,,,,02/05(木),02/05(木),,,
Sem33,02/24(火),13:30-14:00,開催済み,業界特化,食品製造,ライブ,杉田,-,,採用してから困らないために 特定技能人材の衛生教育とHACCP現場日本語の設計法,,,,,,,,,,,,,,,,,,02/10(火),02/10(火),,,
Sem34,02/26(木),13:30-14:00,開催決定,業界特化,ドライバー,ライブ,杉田,-,,2024年問題を突破する！若手外国人ドライバーによる『持続可能な運送経営』,,,,,,,,,,,,,,,,,,02/12(木),02/12(木),,,
Sem35,03/10(火),13:30-14:00,開催決定,業界特化,ドライバー,ライブ,杉田,-,,"特定技能の冷蔵冷凍車ドライバー受け入れ企業向け
""入国前品質教育"" で事故・クレームを防ぐ実践ポイント",,,,,,,,,,,,,,,,,,02/24(火),02/24(火),,,
Sem36,03/17(火),13:30-14:00,打診中,業界特化,ドライバー,ライブ,杉田,-,,,,,,,,,,,,,,,,,,,,03/03(火),03/03(火),,,
Sem37,03/24(火),13:30-14:00,打診中,業界特化,ドライバー,ライブ,杉田,-,,,,,,,,,,,,,,,,,,,,03/10(火),03/10(火),,,
Sem38,03/31(火),13:30-14:00,打診中,業界特化,ドライバー,ライブ,杉田,-,,,,,,,,,,,,,,,,,,,,03/17(火),03/17(火),,,
